singleton,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
allBytes,['Data/ByteString.hs']
pack,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
unpack,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
unpackFoldr,"['Data/ByteString.hs', 'Data/ByteString/Short/Internal.hs']"
fromFilePath,['Data/ByteString.hs']
toFilePath,['Data/ByteString.hs']
null,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
length,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
cons,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
snoc,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
head,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
tail,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
uncons,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
last,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
init,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
unsnoc,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
append,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Internal/Type.hs', 'Data/ByteString/Lazy/Internal.hs', 'Data/ByteString/Builder/Internal.hs']"
map,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
reverse,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
intersperse,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Internal/Pure.hs', 'Data/ByteString/Lazy/Char8.hs']"
transpose,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs']"
foldl,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
foldl',"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
foldr,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
foldr',"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
foldl1,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
foldl1',"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
foldr1,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
foldr1',"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
concat,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Internal/Type.hs', 'Data/ByteString/Lazy/Internal.hs']"
concatMap,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
any,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
anyByte,['Data/ByteString.hs']
all,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
maximum,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
minimum,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
mapAccumL,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
mapAccumR,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
scanl,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
scanl1,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
scanr,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
scanr1,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
replicate,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
unfoldr,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
unfoldrN,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Short/Internal.hs']"
take,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
takeEnd,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
drop,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
dropEnd,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
splitAt,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
takeWhile,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
takeWhileEnd,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
dropWhile,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
dropWhileEnd,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
break,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
breakByte,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
breakEnd,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
span,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
spanByte,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs']"
spanEnd,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
splitWith,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
split,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
group,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs']"
groupBy,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
intercalate,"['Data/ByteString.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs']"
index,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
indexMaybe,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
(!?),"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
elemIndex,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Internal/Pure.hs', 'Data/ByteString/Lazy/Char8.hs']"
elemIndexEnd,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
elemIndices,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
count,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
findIndex,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
findIndexEnd,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
findIndices,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
elem,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Short/Internal.hs', 'Data/ByteString/Lazy/Char8.hs']"
notElem,"['Data/ByteString.hs', 'Data/ByteString/Char8.hs', 'Data/ByteString/Lazy.hs', 'Data/ByteString/Lazy/Char8.hs']"
